,tweets,time,language,translated_tweets
154,"Ne détournez pas les arguments de l'époque, les  voulaient:
1 - un avion qui vole
2 - une flotte avec 1 avion
3 - un processus qui permette de choisir le meilleur
4 - que cela entre dans le budget
Cette fois les conditions sont remplies.",2022-05-15 05:20:40+00:00,"((0, 239, 'FRENCH', 'fr'),)","Do not turn away the arguments of the time, wanted them: 1 - an airplane flying 2 - a fleet with 1 plane 3 - a process that allows to choose the best 4 - that this enters into the budget This time the conditions are fulfilled."
155,"rappelons que l’on veut un avion qui s’intègre, qui dure, et pour cela on doit prendre un certain risque sur l’avenir",2022-05-14 16:00:17+00:00,"((0, 124, 'FRENCH', 'fr'),)","Let us remember that we want a plane that integrates, lasts, and for that we have to take a certain risk over the future."
156,"""François Pointet (GLP/VD) mahnt, die Ochsen vor dem Pflug und nicht dahinter anzuspannen. Erst sollten die Bedürfnisse eruiert und erst dann das Geld ausgegeben werden.""
armee parlCH",2022-05-11 15:06:24+00:00,"((0, 185, 'GERMAN', 'de'),)","""François Pointet (GLP/VD) warns that the oxen should be tightened before the plow and not behind it. First, the needs should be determined and then the money spent."" poor parlCH"
157,"C'est ce que nous faisons à chaque débat, mais pour l'instant une majorité préfère une armée de la guerre froide.",2022-05-09 20:38:05+00:00,"((0, 119, 'FRENCH', 'fr'),)","This is what we do at every debate, but for the moment a majority prefers a Cold War army."
158,"Il n'y a évidemment pas que cela, vous pourrez suivre mon intervention pour avoir l'entier des arguments.",2022-05-09 09:01:38+00:00,"((0, 106, 'FRENCH', 'fr'),)","Of course, it is not just that, you will be able to follow my speech for the whole of the arguments."
159,"Si c'est pour garder des F-5 je ne veux pas de la voie de la droite, si c'est pour tuer l'achat des F-35 je ne veux pas de la voie de la gauche.",2022-05-09 06:48:16+00:00,"((0, 144, 'FRENCH', 'fr'),)","If it's to keep F-5s I don't want the right track, if it's to kill the F-35s I don't want the left track."
160,1/2 Passage à  pour la loi sur le cinéma.,2022-05-09 05:54:02+00:00,"((0, 43, 'FRENCH', 'fr'),)",1/2 Transition to the Cinema Act.
161,Nous le faisons dans la mesure de nos moyens avec quelques succès sossolaire,2022-05-02 19:14:48+00:00,"((0, 77, 'FRENCH', 'fr'),)",We do it to the extent of our means with some solsolar success
162,"Il y a plusieurs problèmes...il y a des séances de commission durant l'événement et les scientifiques ont pris place à gauche de l'hémicycle.
Je suis à ma place...",2022-05-02 13:40:18+00:00,"((0, 170, 'FRENCH', 'fr'),)",There are several problems... there are committee sessions during the event and the scientists took place on the left of the Chamber. I am in my place...
163,Nous devons vivre notre neutralité au présent!,2022-05-01 19:56:42+00:00,"((0, 48, 'FRENCH', 'fr'),)",We must live our neutrality in the present!
164,"2/2
Mais comme je l’ai dit depuis le début, cet événement est à double tranchant, voire dangereux. Le risque est réel qu’il ne réunisse que des gens qui sont déjà d’accord entre eux et qu’il donne une mauvaise image du Parlement, puisqu’une majorité va snober la rencontre.»",2022-05-01 13:23:09+00:00,"((0, 294, 'FRENCH', 'fr'),)","2/2 But as I said from the beginning, this event is double-edged, even dangerous. It is a real risk that it will bring together only people who are already in agreement with each other and that it will give a bad image of Parliament, since a majority will snore the meeting."""
165,"1/2
«Si j’ai décidé d’être présent, c’est pour écouter des gens intéressants, mais aussi par respect pour la présidente du Conseil national, qui s’est engagée vis-à-vis du gréviste de la faim à organiser cette rencontre.",2022-05-01 13:22:58+00:00,"((0, 240, 'FRENCH', 'fr'),)","1/2 ""If I have decided to be present, it is to listen to interesting people, but also out of respect for the president of the National Council, who committed himself to the hunger striker to organize this meeting."
166,Je suis surtout inquiet de voir toutes ces personnes prétexter une situation exceptionnelle pour justifier la violation de nos lois.,2022-04-27 08:21:56+00:00,"((0, 133, 'FRENCH', 'fr'),)","Above all, I am concerned that all these people are using an exceptional situation to justify the violation of our laws."
167,"1/2
Nous devons respecter la loi sur les exportation d'armes, nous ne pouvons pas faire d'exception même si la situation est terrible pour la population ukrainienne.",2022-04-25 05:33:52+00:00,"((0, 166, 'FRENCH', 'fr'),)","1/2 We must respect the law on arms exports, we cannot make an exception even if the situation is terrible for the Ukrainian people."
168,Ils serrent les rangs pour apporter une solution ou pour jouer la montre?,2022-04-14 16:21:21+00:00,"((0, 73, 'FRENCH', 'fr'),)",They close the ranks to bring a solution or to play the watch?
169,"Et pendant ce temps le Conseil fédéral considère que laisser les chasseurs tuer des bécasses des bois (animal sur liste rouge), c'est pas si grave....",2022-04-14 06:39:20+00:00,"((0, 154, 'FRENCH', 'fr'),)",And in the meantime the Federal Council considers that allowing hunters to kill woodcocks (an animal on a red list) is not so serious....
170,"Il y aurait pas un moyen pour donner la main au GCVD concernant ces mics-macs de bouclement?
  
2/2",2022-04-13 20:16:03+00:00,"((0, 99, 'FRENCH', 'fr'),)",There wouldn't be a way to hand the GCVD over these loop mics-macs? 2/2
171,"Toujours impressionnant ces écritures comptables, ou comment le Conseil d'Etat vaudois tond le contribuable et fait ce qu'il veut des bénéfices...
1/2",2022-04-13 20:15:48+00:00,"((0, 153, 'FRENCH', 'fr'),)","Always impressive these accounting records, or how the Vaudois Council of State mows the taxpayer and does what it wants for profits... 1/2"
172,"Collaborer ne veux pas dire mener une campagne d'élections ensemble, il faut arrêter de tout mélanger et d'exclure l'une pour l'autre. 
Dire que l'on ne construit pas des ponts avec l' est une affirmation fausse!",2022-04-12 11:08:11+00:00,"((0, 215, 'FRENCH', 'fr'),)","Collaborating does not mean conducting a campaign of elections together, we must stop mixing everything and excluding one for the other. To say that we do not build bridges with the is a false statement!"
173,On peut construire sans aller sur une même liste aux élections même si cela ne l'exclut pas...nous construisons aussi avec les,2022-04-12 11:06:43+00:00,"((0, 129, 'FRENCH', 'fr'),)",We can build without going on the same list in the elections even if that does not exclude it... we also build with the
174,Il y a une différence entre construire des ponts et faire campagne sur la même liste. Nous avons aussi essayer de faire avancer des sujets avec l' par exemple la baisse de l'imposition individuelle dans une période où le  résistait à travers son grand argentier!,2022-04-12 10:32:56+00:00,"((0, 268, 'FRENCH', 'fr'),)","There is a difference between building bridges and campaigning on the same list. We also tried to advance topics with, for example, the reduction of individual taxation in a period when it resisted through its great silversmith!"
175,"Des alliances ont été faites dans certaines parties du canton lors de ces dernières élections communales et cantonales, les organisations locales du Centre n'ont pas respectés leurs engagements financiers...pas très engageant comme partenariat.",2022-04-11 09:32:02+00:00,"((0, 250, 'FRENCH', 'fr'),)","Alliances were made in some parts of the canton during these last communal and cantonal elections, the local organizations of the Centre did not respect their financial commitments ... not very engaging as a partnership."
176,"Situation intéressante pour les  conseillère d'État sans députés, une droite à l'unité fragile (l' a perdu) et une gauche ( et  qui devra mettre son arrogance de côté pour construire avec nous.
Toujours dispo pour construire des ponts.
ECVD22",2022-04-11 04:52:15+00:00,"((0, 251, 'FRENCH', 'fr'),)","Interesting situation for the state councillors without deputies, a right to the fragile unit (lost it) and a left (and will have to set aside its arrogance to build with us. Always available to build bridges. ECVD22"
177,"Au fait la gare de Vevey c'est aussi en pleine journée, mais c'est pas grave, laisser une telle ambiance fait le lit de nos amis d'extrême droite...",2022-04-06 21:09:23+00:00,"((0, 150, 'FRENCH', 'fr'),)","By the way, Vevey station is also in the middle of the day, but it's no big deal, leaving such an atmosphere makes the bed of our far right friends..."
178,Je n'ai pas demander d'interdire...quand je passe à 22h30 à la gare de Lausanne je n'ai pas de problèmes. Elle est où la différence ?,2022-04-06 21:04:28+00:00,"((0, 138, 'FRENCH', 'fr'),)",I didn't ask to ban... when I went to the Lausanne station at 10:30 p.m. I have no problems. Where is the difference?
179,"C'est l'ambiance qui me pose problème, quand il s'agit de passer entre les dealers qui sont postés devant les portes...c'est pas agréable!",2022-04-06 20:55:57+00:00,"((0, 141, 'FRENCH', 'fr'),)","It's the atmosphere that poses a problem to me, when it comes to crossing between the dealers who are posted in front of the doors... it's not pleasant!"
180,"Quand à 22h30, devant la gare de Vevey je compte six dealers et que je constate 4 échanges de marchandise en 10 minutes, je me demande:
""C'est quoi votre stratégie pour régler ce problème ?""",2022-04-06 20:34:18+00:00,"((0, 195, 'FRENCH', 'fr'),)","When at 10:30 pm, in front of Vevey station I have six dealers and I see four merchandise exchanges in 10 minutes, I wonder: ""What is your strategy to solve this problem?"""
181,Pas moi...le foot cela n'a jamais été mon truc...‍,2022-04-02 20:11:14+00:00,"((0, 54, 'FRENCH', 'fr'),)",Not me... football was never my thing...
182,"«Nous devons apporter notre contribution à la sécurité militaire collective en Europe. Car la sécurité de l’Europe, c’est aussi notre sécurité»
ADpvlCH  aucoeurdeleurope",2022-04-02 10:48:09+00:00,"((0, 182, 'FRENCH', 'fr'),)","""We must make our contribution to collective military security in Europe. Because Europe\'s security is also our security"" ADpvlCH aucoeurdeleurope"
183,"Surprenant de faire appel au groupe Wagner pour la soit disant dénazification de l'Ukraine, non ?
StandWithUkraine",2022-03-29 08:25:07+00:00,"((0, 115, 'FRENCH', 'fr'),)","Surprising to appeal to the Wagner group for the so-called denazification of Ukraine, no? StandWithUkraine"
184,"Il est temps d’augmenter la collaboration pour plus d’information, pour plus de sécurité, pour plus de résilience et pour plus d’efficacité.
Le temps est venu d’un nouveau départ européen, aussi pour notre sécurité.
 aucoeurdeleurope",2022-03-29 07:05:11+00:00,"((0, 249, 'FRENCH', 'fr'),)","It is time to increase collaboration for more information, for more security, for more resilience and for more efficiency. The time has come for a new European start, also for our safety."
185,"«Quand on ne tient pas le délai de validité d’un contrat, c’est normal qu’il tombe ... j’attends surtout des initiants, qui se targuent d’être démocrates, qu’ils ne jouent pas la montre et déposent vite leur texte.»
F35",2022-03-25 06:13:57+00:00,"((0, 238, 'FRENCH', 'fr'),)","""When you don\'t keep the validity of a contract, it\'s normal that it falls... you\'re waiting for insiders, who boast that they\'re democrats, that they don\'t play the watch and quickly file their text."" F35"
186,Une collaboration doit se faire dans le respect de notre neutralité active.,2022-03-18 07:54:05+00:00,"((0, 76, 'FRENCH', 'fr'),)",Collaboration must be carried out in accordance with our active neutrality.
187,La livraison d'arme est une collaboration. La résistance est magnifique mais pour combien de temps?,2022-03-16 12:54:41+00:00,"((0, 100, 'FRENCH', 'fr'),)",Weapon delivery is a collaboration. Resistance is beautiful but for how long?
188,"Il est temps d’augmenter la collaboration pour plus d'information, pour plus de sécurité, pour plus de résilience et pour plus d'efficacité.
Le temps est venu d'un nouveau départ européen, aussi pour notre sécurité.
StandWithUkraine",2022-03-16 08:33:49+00:00,"((0, 242, 'FRENCH', 'fr'),)","It is time to increase collaboration for more information, for more security, for more resilience and for more efficiency. The time has come for a new European start, also for our security. StandWithUkraine"
189,"L'intelligence artificielle s'invite dans le conflit...peut-être pas là où on l'attendait!


Ukraine",2022-03-15 10:05:51+00:00,"((0, 103, 'FRENCH', 'fr'),)",Artificial intelligence comes into conflict...maybe not where it was expected! Ukraine
190,"Pas convaincu que le choix aie vraiment été politique, on attend le rapport de la commission de gestion!",2022-03-07 19:38:58+00:00,"((0, 106, 'FRENCH', 'fr'),)","Not convinced that the choice was really political, we are waiting for the report of the Management Committee!"
191,Il faut mettre cela en relation avec la rustrerie de lancer une initiative populaire de mauvais perdant.,2022-03-07 10:55:50+00:00,"((0, 104, 'FRENCH', 'fr'),)",It must be put in touch with the rustrary to launch a popular initiative of bad losers.
192,"Si comme moi, c'est sous un souffle d'optimisme que vous voulez aborder l'avenir, votez et faites voter vert'libéral aux prochaines cantonales.
ECVD22",2022-03-04 07:15:38+00:00,"((0, 151, 'FRENCH', 'fr'),)","If like me, it is under a breath of optimism that you want to approach the future, vote and have the next cantonals vote green'liberal. ECVD22"
193,Je ne crois pas d'ailleurs si nous obtenons les options optimales...nous serons prêts.,2022-02-28 19:58:03+00:00,"((0, 87, 'FRENCH', 'fr'),)",I don't believe that if we get the best options... we'll be ready.
194,"Vous avez raison, j'aurais dû écrire option...",2022-02-28 19:56:52+00:00,"((0, 48, 'FRENCH', 'fr'),)","You're right, I should have written option..."
195,"Je vous invite à lire le rapport sur le développement des forces terrestres et à prendre le meilleur des scénarios pour chaque capacité...nous avons besoin de blindés, mais pas de léopards...",2022-02-28 17:17:09+00:00,"((0, 198, 'FRENCH', 'fr'),)","I invite you to read the report on the development of ground forces and to take the best of scenarios for each ability... we need armored, but not leopards..."
196,"L'époque d'un soldat derrière chaque sapin et révolu.
pourunearmeemoderne pourunearmeeefficace",2022-02-28 15:48:25+00:00,"((0, 97, 'FRENCH', 'fr'),)",The time of a soldier behind every tree and over. for a modern weapon for an effective weapon
197,"Nous sommes tous sous le coup d'un retour de la guerre en Europe! Nous avons besoin d'une armée équipée de manière moderne et bien entraînée, mais cela ne veut pas forcément dire augmentation d'effectif! 
pourunearmeemoderne pourunearmeeefficace",2022-02-28 15:47:52+00:00,"((0, 252, 'FRENCH', 'fr'),)","We are all facing a return from war in Europe! We need an army equipped in a modern and well-trained way, but this does not necessarily mean an increase in numbers! for a modern weapon for an effective weapon"
198,"Le CF décide enfin de reprendre les sanctions décidées par l'UE. Mieux vaut tard que jamais!
StandingWithUkraine",2022-02-28 14:32:36+00:00,"((0, 115, 'FRENCH', 'fr'),)",The CF finally decides to take over the sanctions decided by the EU. Better late than never! StandingWithUkraine
199,En l'occurence je me préoccupe surtout de la réaction du Conseil fédéral...,2022-02-25 13:20:58+00:00,"((0, 79, 'FRENCH', 'fr'),)","In this case, I am mainly concerned about the reaction of the Federal Council..."
200,"Mais qu'est-ce qu'il faut pas entendre comme bêtises!
ECVD22",2022-02-21 19:12:05+00:00,"((0, 61, 'FRENCH', 'fr'),)",But what is not to be understood as nonsense! ECVD22
201,"Continuons sur l'Europe avec une mauvaise défense de Ignazio Cassis par une candidate  🤦‍
ECVD22 aucoeurdeleurope",2022-02-21 19:05:59+00:00,"((0, 119, 'FRENCH', 'fr'),)",Let's continue on Europe with a misdefense of Ignazio Cassis by a candidate 
202,"Au tour du candidat  qui s'étend sur l'europe, encore une fois cet argument ""Ils n'ont pas intérêt à ne pas collaborer avec nous!""(trad. Y'en a point comme nous!)
🤯 ECVD22 aucoeurdeleurope",2022-02-21 19:00:41+00:00,"((0, 195, 'FRENCH', 'fr'),)","In the turn of the candidate who extends on the European, again this argument ""They have no interest in not collaborating with us!""(trad. There is no such thing as us!) 的 ECVD22 aucoeurdeleurope"
203,"C'est au candidat  de se plaindre du manque d'accords avec l'Europe. C'est plus facile de crier une fois qu'on a laissé faire sans bouger.
ECDV22, aucoeurdeleurope",2022-02-21 18:46:16+00:00,"((0, 164, 'FRENCH', 'fr'),)","It's up to the candidate to complain about the lack of agreements with Europe. It's easier to scream once we let it go without moving. ECDV22, aucoeurdeleurope"
204,"Quand j'entends une candidate  au Conseil d'Etat se plaindre de ne plus pouvoir accéder à la recherche européenne...quelqu'un peu me rappeler qui a fait partie des fossoyeurs des accords-cadre?
ECVD22",2022-02-21 18:14:19+00:00,"((0, 203, 'FRENCH', 'fr'),)",When I hear a candidate at the Council of State complaining that she can no longer access European research... a little reminder me who was part of the fosseurs of the framework agreements? ECVD22
205,"Et en 1992 c'était une catastrophe, les accords bilatéraux ont étés la solution que les conservateurs laissent s'éroder...",2022-02-09 05:57:54+00:00,"((0, 127, 'FRENCH', 'fr'),)","And in 1992 it was a disaster, bilateral agreements were the solution that the Conservatives allowed to erode..."
206,"Je n'ai pas dit que la France avait un meilleur PIB que le Royaume -Unis, mais il est faux de dire que seule l'Alemagne a un meilleur PIB que le Royaume-Uni. Les problèmes économiques de la France sont un problème français et pas européen!",2022-02-09 05:57:44+00:00,"((0, 244, 'FRENCH', 'fr'),)","I did not say that France had a better GDP than the United Kingdom, but it is wrong to say that only Germany has a better GDP than the United Kingdom. France's economic problems are a French problem and not a European one!"
207,Il n'y a pas que la France dans le classement!,2022-02-08 17:56:15+00:00,"((0, 46, 'FRENCH', 'fr'),)",It's not just France in the standings!
208,"Notre marché n'est pas sans contrôle et si vous regardez la croissance de l'économie de la Suisse depuis les années 90, il me semble difficile d'affirmer que les accords nous ont pénalisé!
Au fait, oubliez pas de diviser par le nombre d'habitants, le classement change!",2022-02-08 17:27:36+00:00,"((0, 275, 'FRENCH', 'fr'),)","Our market is not without control and if you look at the growth of Switzerland's economy since the 1990s, it seems difficult to say that the agreements have penalized us! By the way, don't forget to divide by the number of inhabitants, the ranking changes!"
209,"On transforme en postulat, le Conseil d'Etat va s'assoir dessus durant 10 ans (vu comme il respecte les délais légaux) et le  peut changer de slogan:

Sans privilèges (sauf pour nos élues au Conseil d'Etat) ! GCVD ECVD22",2022-02-08 17:20:51+00:00,"((0, 224, 'FRENCH', 'fr'),)","We turn into a postulate, the Council of State will sit on it for 10 years (as it respects the legal deadlines) and can change the slogan: Without privileges (except for our elected members of the Council of State)! GCVD ECVD22"
210,"Qui détruit ce qui fait la prospérité...(par exemple qui risque de nous faire sortir de Schengen-Dublin ou qui laisse s'éroder les accords avec l'Europe, quand on conserve sans entretenir, on détruit!)",2022-02-08 07:59:26+00:00,"((0, 206, 'FRENCH', 'fr'),)","Who destroys what makes prosperity... (for example, who risks getting us out of Schengen-Dublin or who allows agreements with Europe to be eroded, when we keep without maintenance, we destroy!)"
211,"Accord cadre, Schengen-Dublin... quand on est conservateur et protectionniste de gauche ou de droite, on aime bien détruire ce qui fait la prospérité de la Suisse.",2022-02-06 13:16:33+00:00,"((0, 166, 'FRENCH', 'fr'),)","Framework agreement, Schengen-Dublin... when you are conservative and protectionist on the left or on the right, you like to destroy what makes Switzerland prosperous."
212,Que voilà une bien mauvaise nouvelle...,2022-02-04 18:46:11+00:00,"((0, 40, 'FRENCH', 'fr'),)",That's very bad news...
213,Il faudra se souvenir de ceux qui essayent désespérément de remettre le thème européen sur la table...et je ne parle pas de ceux qui veulent faire croire qu'ils cherchent des solutions après avoir soigneusement détruit les accords cadres!,2022-02-03 07:35:30+00:00,"((0, 245, 'FRENCH', 'fr'),)",We will have to remember those who are desperately trying to put the European theme on the table...and I am not talking about those who want to make believe that they are looking for solutions after carefully destroying the framework agreements!
214,Ben supprimons les communes du coup!,2022-01-31 08:26:03+00:00,"((0, 36, 'FRENCH', 'fr'),)",Let's get rid of the communes at once!
215,"Alors voilà un argument tiré par les cheveux, c'est soit de l'incapacité à comprendre, soit de la construction de fake news...
La suppression du droit de timbre est une nécessité si l'on veut de l'innovation!
CHVote",2022-01-31 08:24:08+00:00,"((0, 189, 'FRENCH', 'fr'), (189, 32, 'ENGLISH', 'en'))","So here's an argument drawn by the hair, it's either the inability to understand, or the construction of fake news... The removal of stamp duty is a necessity if we want innovation! CHVote"
216,"Je constate que les autoproclamés ""défenseurs des traditions"" font parfois des écarts qui prêtent à sourire.
P.S. je ne suis pas en campagne!",2022-01-25 17:51:51+00:00,"((0, 146, 'FRENCH', 'fr'),)","I see that self-proclaimed ""defensors of traditions"" sometimes make gaps that lends a smile. P.S. I\'m not in the countryside!"
217,Désolé...mais peut-être que la page facebook a été piratée...,2022-01-24 13:14:54+00:00,"((0, 67, 'FRENCH', 'fr'),)",Sorry...but maybe the facebook page has been hacked...
218,"Amusant la défense des traditions!
  
indépendancevaudoise",2022-01-24 10:30:29+00:00,"((0, 60, 'FRENCH', 'fr'),)",Fun defending traditions!Independencevaudoise
219,"...
La liberté n'est plus un rêve,
Les droits de l'homme sont vainqueurs.
...",2022-01-24 07:48:27+00:00,"((0, 79, 'FRENCH', 'fr'),)","... Freedom is no longer a dream, Human rights are victorious. ..."
220,"J'ai toujours dit que cette histoire d'obligation de se présenter dans son arrondissement de domicile était douteux...mais le  entre autre, a insisté...
ECVD22",2022-01-22 09:08:07+00:00,"((0, 162, 'FRENCH', 'fr'),)","I have always said that this story of obligation to appear in his district of residence was doubtful... but among other things, insisted... ECVD22"
221,Euh n'exagérons pas sur le camarade...🤣,2022-01-21 19:12:10+00:00,"((0, 43, 'FRENCH', 'fr'),)","Uh, let's not exaggerate about comrade..."
222,Alors c'est la première fois que je descendrai dans la rue...,2022-01-21 19:08:52+00:00,"((0, 62, 'FRENCH', 'fr'),)",So this is the first time I've been on the street...
223,"Notre ""chance"" c'est que pour l'instant personne en suisse n'est prêt à investir dans le nucléaire...beaucoup trop risqué économiquement.",2022-01-21 19:03:59+00:00,"((0, 142, 'FRENCH', 'fr'),)","Our ""chance"" is that for the moment no one in Swiss is willing to invest in nuclear...many too risky economically."
224,"Pour rappel, ce n'est pas une taxe, c'est une obligation d'investissement en suisse. Ce n'est pas l'Etat qui décide de l'investissement mais bien l'opérateur privé. Nuance de poids!
lexnetflix netflix",2022-01-20 15:55:49+00:00,"((0, 203, 'FRENCH', 'fr'),)","As a reminder, it is not a tax, it is an investment obligation in Swiss. It is not the state that decides on the investment but the private operator. Weight difference! lexnetflix netflix"
225,"Nous n'avons pas fini de nous battre pour trouver une place pour nos mâchefers. Et si on s'attelait à réduire la quantité de déchets incinérés ?
 demande d'appliquer des solutions pragmatiques...

ECVD22",2022-01-20 08:41:39+00:00,"((0, 210, 'FRENCH', 'fr'),)",We have not finished fighting to find a place for our chewers. What if we were to reduce the amount of incinerated waste? asks to apply pragmatic solutions... ECVD22
226,De nouvelles décharges à mâchefers doivent ouvrir en Suisse romande pour y enfouir les cendres de nos poubelles  via,2022-01-20 08:40:07+00:00,"((0, 119, 'FRENCH', 'fr'),)",New garbage dumps must open in French-speaking Switzerland to bury the ashes of our garbage cans via
227,"Et du coup, première demi-heure à la place du président (au pied levé ), le pauvre étant coincé dans un train!
SiK CPS parlCH",2022-01-18 12:31:08+00:00,"((0, 131, 'FRENCH', 'fr'),)","And so, first half an hour instead of the president (at the foot up), the poor one being stuck in a train! SiK CPS parlCH"
228,"Première séance avec notre nouveau président et j'ai le plaisir de prendre la place du vice-président.
SiK CPS parlCH",2022-01-17 09:31:06+00:00,"((0, 121, 'FRENCH', 'fr'),)",First session with our new president and I am pleased to take the place of the vice-president. SiK CPS parlCH
229,"Un peu trop d'arrogance dans vos propos, la qualité du travail de ceux qui font les études d'impacts n'est pas toujours irréprochable. Mais bon comme vous détenez la vérité suprême nous pouvons arrêter le débat ici!",2022-01-15 16:47:03+00:00,"((0, 224, 'FRENCH', 'fr'),)","A little too much arrogance in your remarks, the quality of the work of those who do impact studies is not always impeccable. But good as you hold the supreme truth we can stop the debate here!"
230,"Si une personne se débat pour affirmer qu'une question est stupide, c'est qu'il est légitime de la poser!",2022-01-15 16:04:02+00:00,"((0, 107, 'FRENCH', 'fr'),)","If a person struggles to say that a question is stupid, it is legitimate to ask it!"
231,"Voilà qui doit nous inciter à renforcer nos capacités de défence contre des attaques hybrides..
cyberdefence cyber",2022-01-14 10:13:20+00:00,"((0, 118, 'FRENCH', 'fr'),)",This should encourage us to strengthen our defence capabilities against hybrid attacks.. cyber defence
232,"On peut faire de la colorimétrie du vert, mais le plus efficace est l'internalisation complète de coûts du CO2. Tout le monde le dit mais personne ne veut le faire...alors on bricole! climat carbone 
 par",2022-01-11 06:42:00+00:00,"((0, 207, 'FRENCH', 'fr'),)","We can do colorimetry of green, but the most effective is the full internalization of CO2 costs. Everyone says so but no one wants to do it... then we make up! carbon climate by"
233,"Les vaudois oui...250 mio de taxes par année, ce sont 250 mio d'investissements qui manquent. A l'heure où l'on se plaint du manque d'investisseurs dans les start-up, c'est ballot.",2022-01-09 18:14:22+00:00,"((0, 182, 'FRENCH', 'fr'),)","The Vaudois yes... 250 million taxes a year, 250 million investments are missing. At a time when we complain about the lack of investors in start-ups, it's a mess."
234,"On peut taxer le revenu certe,mais taxer l'investissement dans l'outil de travail est toujours une mauvaise idée.",2022-01-09 17:22:38+00:00,"((0, 114, 'FRENCH', 'fr'),)","You can tax the certe income, but taxing the investment in the work tool is always a bad idea."
235,"Supprimer le droit de timbre lors d’une levée de fond, par exemple pour une startup, est une évidence. Pour l’ innovation, oui à la suppression du droit de timbre sur les émissions de fonds propres.
CHVote",2022-01-09 11:31:45+00:00,"((0, 213, 'FRENCH', 'fr'),)","Delete the stamp duty when raising funds, for example for a startup, is obvious. For innovation, yes to the abolition of the stamp duty on equity issues. CHVote"
236,Emplâtre sur une jambe de bois et report des problèmes sur les générations futurs...,2022-01-05 17:57:38+00:00,"((0, 88, 'FRENCH', 'fr'),)",Stacked on a wooden leg and postponing problems on future generations...
237,Le fait de vivre plus longtemps fait que nous auront bientôt moins de 3 actifs par retraité...refuser de discuter de l'âge de la retraite c'est un peu comme jouer au jeu de l'avion ! Les derniers à entrer dans le jeu seront perdant !,2022-01-05 13:58:19+00:00,"((0, 237, 'FRENCH', 'fr'),)",The fact of living longer means that we will soon have less than 3 assets per retiree...refusing to discuss retirement age is a bit like playing the game of the plane! The last to enter the game will lose!
238,Quel intéressant mélange...peut-on aussi parler de conservatisme dogmatique pour ceux qui refusent toute révision de l'AVS en laissant les problèmes aux générations futurs?,2022-01-05 09:44:26+00:00,"((0, 178, 'FRENCH', 'fr'),)",What interesting mix...can we also talk about dogmatic conservatism for those who refuse any revision of the AVS by leaving the problems to future generations?
239,"(fin) Bref c'est un on sens économique, une solution à haut risque qui ne sera jamais prête pour 2050 et une montagne de problèmes que l'on reporte sur les générations futurs, incapable que nous sommes à les résoudre.",2022-01-03 05:49:16+00:00,"((0, 225, 'FRENCH', 'fr'),)","(Finally) In short, it is an economic sense, a high-risk solution that will never be ready for 2050 and a mountain of problems that are postponed to future generations, incapable that we are to solve them."
240,"3/3 Dans le canton de Vaud nous sommes incapable de trouver un endroit pour entreposer nos mâchefers, je me réjouis de voir où nous allons entreposer les déchets. Avant d'en produire des nouveaux, occupons nous des actuels !",2022-01-03 05:47:41+00:00,"((0, 228, 'FRENCH', 'fr'),)","3/3 In the canton of Vaud we are unable to find a place to store our chewers, I am delighted to see where we will store the waste. Before producing new ones, let us take care of the current ones!"
241,"2/3 Les anglais mettent en place une RPC pour leur nouvelle centrale et quand on voit les estimations des coûts de démantèlement on s'étouffe, qui va donc payer la facture ? Au niveau risques, il n'est pas nécessaire de savoir si un accident va avoir lieu mais quand!",2022-01-03 05:45:31+00:00,"((0, 272, 'FRENCH', 'fr'),)","2/3 The English put in place a CPP for their new plant and when we see the cost estimates of dismantling we choke, who will pay the bill? At the level of risk, it is not necessary to know whether an accident will take place but when!"
242,"1/3 Le dit fleuron de l'économie française est incapable de construire une nouvelle centrale nucléaire, de plus cette industrie est une véritable industrie d'Etat au vu des soutiens manifs obtenus. En Suisse aucun producteur d'électricité n'est prêt à se lancer!",2022-01-03 05:43:00+00:00,"((0, 270, 'FRENCH', 'fr'),)","1/3 The so-called flagship of the French economy is unable to build a new nuclear power plant, moreover this industry is a genuine state industry in view of the manipulative support obtained. In Switzerland no electricity producer is ready to launch!"
243,Surtout le système électoral vaudois ne respecte toujours pas l'arrêté du tribunal fédéral sur le quorum naturel...comme le système électoral fédéral d'ailleurs.,2021-12-24 13:38:55+00:00,"((0, 171, 'FRENCH', 'fr'),)",Especially the Voodoo electoral system still does not comply with the Federal Court's decree on the natural quorum...as the federal electoral system does.
244,"Si on empêche l'humour de révéler nos dérives, comment va-t-on les empêcher ?
Desproges doit être mort de rire en nous observant de là-haut.",2021-12-23 09:03:27+00:00,"((0, 147, 'FRENCH', 'fr'),)","If we stop humor from revealing our drifts, how are we going to stop them? Desproges must have died of laughing by watching us from up there."
245,Un peu jaloux...il va falloir que je travaille sérieusement mes textes en 2022...,2021-12-19 12:55:43+00:00,"((0, 82, 'FRENCH', 'fr'),)",A little jealous... I'll have to work seriously on my texts in 2022...
246,Pour ce qui est de a troisième elle n'est pas encore ubliée.,2021-12-18 13:19:59+00:00,"((0, 62, 'FRENCH', 'fr'),)","As far as third is concerned, it is not yet forgotten."
247,Quand on fait la une pour une armée moderne et efficace...  parlCH,2021-12-17 08:22:16+00:00,"((0, 67, 'FRENCH', 'fr'),)",When we make the headlines for a modern and efficient army... talkCH
