Unnamed: 0,tweets,time,language,translated_tweets
402,"Unglaublich, wie Sie dies schön zu reden versuchen!",2022-01-02 20:31:21+00:00,"((0, 52, 'GERMAN', 'de'),)","[{'translation_text': ""I can't believe you're trying to talk about this.""}]"
405,Die Intensivpflegestationen sind per 23.12. zu 77.4% ausgelastet … unter 75% ist die Rendite weg … noch Fragen?,2021-12-27 11:50:08+00:00,"((0, 115, 'GERMAN', 'de'),)",[{'translation_text': 'The intensive care units are used on 23.12. to 77.4% ... under 75% the return is gone ... still questions?'}]
406,"Seltsam: Die gleichen „Wissenschaftler“, welche nicht voraussehen konnten,  dass der Impfstoss nur 4 Monate hält, können aber nun plötzlich ausschliessen, dass er in Jahren für Langzeitschäden sorgt ….",2021-12-20 17:06:26+00:00,"((0, 212, 'GERMAN', 'de'),)","[{'translation_text': 'Strange: The same ""scientists"" who could not predict that the vaccine will last only 4 months, but can now suddenly rule out that he will cause long-term damage in years ....'}]"
407,"Jetzt wird Ärzten, die vor den schwerwiegenden Nebenwirkungen vor allem der Booster-Impfungen warnen, mit dem Entzug der Zulassung gedroht. Müssten nicht viel eher die Ärzte und Politiker, die vertuschen und verschweigen, zur Rechenschaft gezogen werden?",2021-12-19 08:44:47+00:00,"((0, 257, 'GERMAN', 'de'),)","[{'translation_text': ""Now doctors who warn of the serious side effects, especially the booster vaccinations, are threatened with the withdrawal of the approval. Shouldn't the doctors and politicians, who cover up and conceal, be held accountable much more?""}]"
408,"Herzlichen Dank, wir gehen dem nach!",2021-12-16 15:20:37+00:00,"((0, 36, 'GERMAN', 'de'),)","[{'translation_text': ""Thank you very much, we're going after it!""}]"
409,"Nachdem Sie mir nicht gesagt haben, wo diese noch hängen, habe ich etwas Mühe, unseren Suchtrupp loszusenden …",2021-12-16 13:04:52+00:00,"((0, 114, 'GERMAN', 'de'),)","[{'translation_text': ""After you haven't told me where they're still hanging, I have some trouble sending out our search party...""}]"
410,Nehmen Sie es doch beim nächsten Vorbeifahren gleich runter - besten Dank für Ihre Unterstützung!,2021-12-16 07:45:29+00:00,"((0, 100, 'GERMAN', 'de'),)",[{'translation_text': 'Take it down the next time you drive past - thank you for your support!'}]
411,GLP heisst doch: Ganz linke Partei …,2021-12-15 12:03:32+00:00,"((0, 38, 'GERMAN', 'de'),)",[{'translation_text': 'GLP means: The Left Party ...'}]
412,"Interessanter Kommentar über   und  von  in der 

Mit dem Verlust der institutionellen Sponsoren wird Netzcourage wieder das, was es im Kern schon immer war: Das Ego-Projekt einer über sich selbst gestrauchelten Politikerin.",2021-12-15 12:01:58+00:00,"((0, 226, 'GERMAN', 'de'),)","[{'translation_text': 'Interesting commentary about and from in the With the loss of institutional sponsors, Netzcourage becomes again what it has always been in its core: the ego project of a politician who stumbled over herself.'}]"
413,Suchen Sie sich bitte endlich einen anständigen Beruf!,2021-12-14 20:52:02+00:00,"((0, 55, 'GERMAN', 'de'),)",[{'translation_text': 'Please find yourself a decent profession!'}]
414,Und? Schon 50 Dumme gefunden?,2021-12-13 19:52:59+00:00,"((0, 29, 'Unknown', 'un'),)",NA
416,Sorry EBG,2021-12-12 21:09:07+00:00,"((0, 9, 'Unknown', 'un'),)",NA
417,Das EGB …,2021-12-12 21:08:54+00:00,"((0, 11, 'Unknown', 'un'),)",NA
418,"Auch das Geld der privaten Spender würde weitgehend sinnlos verpuffen, solange JSH Geschäftsführerin ist … machen Sie endlich Platz für Jemanden, der es kann!",2021-12-12 21:03:58+00:00,"((0, 164, 'GERMAN', 'de'),)",[{'translation_text': 'Even the money of private donors would largely waste senseless as long as JSH is managing director ... finally make room for someone who can!'}]
419,Die Idee des Vereins ist gut - aber die Geschäftsführerin und die Geschäftsführung sind leider vorsichtig ausgedrückt nicht so top … siehe Verfügung des EBG …,2021-12-12 21:00:09+00:00,"((0, 168, 'GERMAN', 'de'),)","[{'translation_text': ""The idea of the association is good - but the managing director and the management are unfortunately cautiously put not so top ... see the EBG's ...""}]"
420,"Noch Fragen?: Die Aussagen der Projektträgerschaft lassen nicht den Schluss zu, dass das Projekt in effizienter Weise geführt und entsprechend der Vorgaben des Subventionsgesetzes und der Verfügung des EBG vom 24. Mai 2021 umgesetzt wird.",2021-12-12 20:40:13+00:00,"((0, 241, 'GERMAN', 'de'),)","[{'translation_text': ""Questions?: The statements of the promoter do not allow the conclusion that the project is conducted in an efficient manner and is implemented in accordance with the provisions of the subsidy law and the EBG's decision of 24 May 2021.""}]"
421,Soll die Wahrheit verschwiegen werden?,2021-12-12 20:34:51+00:00,"((0, 38, 'GERMAN', 'de'),)",[{'translation_text': 'Is the truth to be kept secret?'}]
422,"Seltsam nur, dass auch  und  zurückgetreten sind … die Ungereimtheiten sind also auch anderen aufgefallen ….",2021-12-11 10:51:59+00:00,"((0, 113, 'GERMAN', 'de'),)",[{'translation_text': 'Strangely only that also and resigned ... the inconsistencies have thus also been noticed by others ....'}]
423,"Seltsam nur, dass auch  und  zurückgetreten sind … die Ungereimtheiten sind also auch anderen aufgefallen ….",2021-12-11 10:50:23+00:00,"((0, 113, 'GERMAN', 'de'),)",[{'translation_text': 'Strangely only that also and resigned ... the inconsistencies have thus also been noticed by others ....'}]
424,Immerhin wurden nun die Bundesgelder gestrichen,2021-12-10 06:11:55+00:00,"((0, 47, 'GERMAN', 'de'),)","[{'translation_text': 'After all, the federal funds have now been cancelled'}]"
426,Herr BR Ueli Maurer sprach im Auftrag des Bundesrates …,2021-12-03 20:12:18+00:00,"((0, 57, 'GERMAN', 'de'),)",[{'translation_text': 'Mr. BR Ueli Maurer spoke on behalf of the Federal Council ...'}]
428,Das Übliche plus sozialistisches Gedankengut …,2021-12-02 14:38:04+00:00,"((0, 49, 'GERMAN', 'de'),)",[{'translation_text': 'The usual plus socialist ideas ...'}]
429,Ohne Gagasternli würden sich sicher noch mehr Bewerber melden …,2021-12-01 12:22:44+00:00,"((0, 66, 'GERMAN', 'de'),)","[{'translation_text': ""Without Gagasternli, I'm sure even more applicants would register ...""}]"
431,Das sind halt die Regeln - und die Schweizer sind neuerdings wie Lemminge … man darf ja auch im völlig überfüllten Tram in den Zoo - aber um dort draussen rumzuspazieren braucht es dann ein Zertifikat …,2021-11-27 08:30:39+00:00,"((0, 209, 'GERMAN', 'de'),)",[{'translation_text': 'These are just the rules - and the Swiss are more recently like Lemminge ... you can also go to the zoo in the completely crowded tram - but to walk out there you need a certificate ...'}]
432,"Aus dem Dunstkreis der Bundesverwaltung wurde bekannt, dass die Informatik beauftragt wurde, die Software für die Zertifikate auf 2G zu ändern  …

Nein! zum Covid-Gesetz",2021-11-19 19:05:34+00:00,"((0, 173, 'GERMAN', 'de'),)",[{'translation_text': 'From the haze of the federal administration it became known that the computer science was commissioned to change the software for the certificates to 2G ... No! to the Covid law'}]
433,„Zeitgründe“ - die gute Dame scheint einfach nicht so gerne selbst zu arbeiten …,2021-11-18 09:03:20+00:00,"((0, 87, 'GERMAN', 'de'),)","[{'translation_text': '""Time reasons – the good lady just doesn\'t seem to like working herself ...'}]"
434,„ Zeitgründe“ - die gute Dame scheint einfach nicht so gerne selbst zu arbeiten …,2021-11-18 09:02:22+00:00,"((0, 88, 'GERMAN', 'de'),)","[{'translation_text': '"" Time reasons – the good lady just doesn\'t seem to like working herself ...'}]"
435,Die gute Dame darf hetzen und will  gleichzeitig Geld vom Bund bekommen - das werden wir bekämpfen!,2021-11-18 09:01:18+00:00,"((0, 100, 'GERMAN', 'de'),)",[{'translation_text': 'The good lady is allowed to rush and wants to get money from the federation at the same time - we will fight that!'}]
436,"Boostern: 
Sollen wir uns nun wirklich noch mehr von dem Stoff reinjagen, der nicht mehr wirkt?",2021-11-15 19:49:36+00:00,"((0, 95, 'GERMAN', 'de'),)","[{'translation_text': ""Booster: Are we really going to chase in more of the stuff that doesn't work anymore?""}]"
437,Wunsch nach Zensur?,2021-11-15 08:28:23+00:00,"((0, 19, 'Unknown', 'un'),)",NA
439,Aber sicher - die Verantwortlichen sind zurzeit in einem veritablen Rückzugsgefecht …,2021-11-14 18:36:41+00:00,"((0, 88, 'GERMAN', 'de'),)",[{'translation_text': 'But sure - those responsible are currently in a veritable retreat contest ...'}]
440,Genau! Die Zeit ist jetzt da - Handeln für die Freiheit!,2021-11-14 06:09:10+00:00,"((0, 57, 'GERMAN', 'de'),)","[{'translation_text': ""That's right, the time has come to act for freedom.""}]"
441,… und wovon träumen Sie in der Nacht?,2021-11-13 21:10:30+00:00,"((0, 40, 'GERMAN', 'de'),)",[{'translation_text': '... and what do you dream of at night?'}]
442,"Österreich verfügt einen Lockdown für Ungeimpfte in 2 Bundesländern, Impfpflicht für das Gesundheitspersonal und in den News wird gerätselt, wie man Verstösse ahnden (also die gesunden Ungeimpften jagen kann) Wo sind wir nur gelandet? jetzt die Notbremse ziehen: NEIN am 28.11.!",2021-11-13 05:48:24+00:00,"((0, 285, 'GERMAN', 'de'),)","[{'translation_text': 'Austria has a lockdown for the unvaccinated in 2 federal states, vaccination for the health personnel and in the news it is getting tired of how to punish violations (so the healthy unvaccinated can hunt) Where did we end up? now pull the emergency brake: NO on 28.11.!'}]"
443,Vom Freisinn zum Schwachsinn ….,2021-11-12 18:51:00+00:00,"((0, 33, 'GERMAN', 'de'),)",[{'translation_text': 'From free-mindedness to bullshit ....'}]
444,"Immer mehr Impfdurchbrüche - und das Verrückte: Zum ersten Mal in der Geschichte wird die Unwirksamkeit eines Medikamentes denen angelastet, die es nicht eingenommen haben. Neuinfektionen",2021-11-12 18:50:17+00:00,"((0, 189, 'GERMAN', 'de'),)","[{'translation_text': 'More and more vaccine breakthroughs - and the crazy: For the first time in history, the ineffectiveness of a drug is charged to those who have not taken it.'}]"
445,"Immer mehr Impfdurchbrüche - und das Verrückte: Zum ersten Mal in der Geschichte wird die Unwirksamkeit eines Medikamentes denen angelastet, die es nicht eingenommen haben. Neuinfektionen",2021-11-12 18:46:12+00:00,"((0, 189, 'GERMAN', 'de'),)","[{'translation_text': 'More and more vaccine breakthroughs - and the crazy: For the first time in history, the ineffectiveness of a drug is charged to those who have not taken it.'}]"
447,"Habe das kümmerliche Trüppchen heute live in Zürich gesehen … Ist das echt alles, was Ihr noch an Demonstranten hinbringt? Und dann noch durchseucht mit Antifanten und anderen Chaoten …",2021-11-06 15:41:14+00:00,"((0, 192, 'GERMAN', 'de'),)",[{'translation_text': 'Have I seen the dim little junk live in Zurich today ... Is that really all you bring to demonstrators? And then still contaminated with antifants and other chaots ...'}]
448,"Man hätte ja auch fragen können, wer sich enthalten hat, weshalb der Stichentscheid überhaupt erst nötig wurde …",2021-11-05 19:55:32+00:00,"((0, 118, 'GERMAN', 'de'),)","[{'translation_text': 'One could also have asked who abstained, why the key decision was necessary in the first place ...'}]"
449,"Man hätte ja auch fragen können, wer sich enthalten hat, weshalb der Stichentscheid überhaupt erst nötig wurde …",2021-11-05 17:43:44+00:00,"((0, 118, 'GERMAN', 'de'),)","[{'translation_text': 'One could also have asked who abstained, why the key decision was necessary in the first place ...'}]"
450,Doch !,2021-10-24 20:07:31+00:00,"((0, 6, 'Unknown', 'un'),)",NA
451,"In Italien helfen die Gewerkschaften den Büezern gegen die unsägliche 3G-Pflicht am Arbeitsplatz - in der Schweiz lassen   und Co. die Büezer hängen … Hauptsache, man kann Millionen kassieren und horten …",2021-10-18 05:40:16+00:00,"((0, 212, 'GERMAN', 'de'),)","[{'translation_text': 'In Italy, the trade unions help the Büezers against the unspeakable 3G obligation in the workplace - leave the Büezers hanging in Switzerland and co. ... The main thing is that you can collect and hoard millions ...'}]"
452,JSH alleine ohne ihre 2 letzten Getreuen wird noch unerträglicher 🤢,2021-10-17 11:00:43+00:00,"((0, 71, 'GERMAN', 'de'),)",[{'translation_text': 'JSH alone without her 2 last faithful becomes even more unbearable'}]
453,"Ich denke, diesen Steuerausfall kann der Aargau gut verkraften …",2021-10-16 14:30:30+00:00,"((0, 66, 'GERMAN', 'de'),)",[{'translation_text': 'I think the Aargau can cope well with this tax failure...'}]
454,Ich gebe Ihnen 24h um den Tweet zu löschen - anschliessend Strafanzeige!,2021-10-15 19:21:50+00:00,"((0, 73, 'GERMAN', 'de'),)","[{'translation_text': ""I'll give you 24h to delete the tweet - then criminal charges!""}]"
455,Was stimmt nicht ?,2021-10-13 17:27:29+00:00,"((0, 18, 'Unknown', 'un'),)",NA
456,"Weit haben wir es gebracht: 
Es gibt Bussen bei falscher Namensangabe im Restaurant - 
aber wenn Du illegal in die CH einreist und nichts sagen möchtest, woher Du kommst: 
Familiennachzug, lebenslange Sozialhilfe und AHV …",2021-10-13 07:50:06+00:00,"((0, 225, 'GERMAN', 'de'),)","[{'translation_text': ""We have brought it far: there are buses with false names in the restaurant - but if you illegally enter the CH and don't want to say anything about where you come from: family reunification, life-long social assistance and AHV ...""}]"
457,"2G einführen hiesse, dass es zu gefährlich wäre, jemanden, der eine Krankheit nachweislich nicht hat, neben jemanden zu setzen, der gegen diese Krankheit geimpft ist … wir verblöden endgültig!",2021-10-12 09:12:55+00:00,"((0, 199, 'GERMAN', 'de'),)",[{'translation_text': '2G suggest that it would be too dangerous to put someone who has proven not to have a disease next to someone who has been vaccinated against this disease ... we are stupid for good!'}]
458,"Oh, Jolanda  bald alleine zuhause …",2021-10-08 10:14:46+00:00,"((0, 37, 'GERMAN', 'de'),)","[{'translation_text': 'Oh, Jolanda will soon be alone at home...'}]"
459,"Sich zum impfen, um Geimpfte zu schützen, ist ähnlich wie keine Schokolade zu essen, weil der Nachbar Diabetes hat …",2021-10-08 10:11:41+00:00,"((0, 120, 'GERMAN', 'de'),)","[{'translation_text': 'Vaccinating yourself to protect the vaccinated is similar to not eating chocolate, because the neighbor has diabetes ...'}]"
460,Klimachaoten verwenden Bambusstäbe um die Strassen zu sperren - ob die Stäbe wohl mit dem Velo in die Schweiz kamen?,2021-10-05 15:05:40+00:00,"((0, 118, 'GERMAN', 'de'),)",[{'translation_text': 'Climate chaos uses bamboo sticks to block the streets - whether the rods came to Switzerland by bike?'}]
461,Klimachaoten legen Zürich lahm: Liebevolle Verhätschelung durch Polizei - ein paar friedliche Trychler auf dem Bundesplatz: Grossaufgebot mit Wasserwerfer und Tränengas … ist das noch meine Schweiz?,2021-10-05 14:49:22+00:00,"((0, 203, 'GERMAN', 'de'),)",[{'translation_text': 'Climate chaos paralyzes Zurich: Lovingly veiled by the police - a few peaceful trychlers on the Bundesplatz: Large array with water cannon and tear gas ... is that still my Switzerland?'}]
462,"Es geht doch nur um den Unsinn, draußen eine Maske tragen zu müssen und für die Besichtigung einer Brücke ein Zertifikat zu verlangen …",2021-10-05 14:40:45+00:00,"((0, 141, 'GERMAN', 'de'),)","[{'translation_text': ""It's all about the nonsense of having to wear a mask outside and asking for a certificate for a visit to a bridge ...""}]"
463,"Es ist doch nur die Tatsache, dass man für draussen! ein Zertifikat braucht …",2021-10-04 19:21:37+00:00,"((0, 80, 'GERMAN', 'de'),)","[{'translation_text': ""It's just the fact that you need a certificate for outside! ...""}]"
464,"Avignon 3.10.2021 - um die berühmte Brücke besichtigen zu dürfen, braucht es ein Zertifikat und eine Maske - Schergen überwachen dies streng - wir verblöden endgültig!",2021-10-04 12:05:07+00:00,"((0, 173, 'GERMAN', 'de'),)","[{'translation_text': 'Avignon 3.10.2021 - in order to visit the famous bridge, you need a certificate and a mask - henchmen strictly monitor this - we are stupid for good!'}]"
465,"Braucht es für eine Impfung, die derart gut, risikolos und wirksam ist, wirklich eine Belohnung von 50.—? Und: Wenn dann doch was schief geht - haftet dann der, der die Belohnung einstreicht? Die Pharmamultis haben sich ja von jeder Haftung entbinden lassen …",2021-10-02 16:29:19+00:00,"((0, 264, 'GERMAN', 'de'),)","[{'translation_text': 'Does it really need a reward of 50.— for a vaccination that is so good, riskless and effective? And: If then something goes wrong - then the one who once achieved the reward is liable? After all, the pharmaceuticals have let themselves be relieved of any liability ...'}]"
466,Wäre ich nicht so gefährlich für linksgrün dann würden Sie mich gar nicht erwähnen 🤗,2021-09-30 13:42:46+00:00,"((0, 93, 'GERMAN', 'de'),)","[{'translation_text': ""If I wasn't so dangerous for left green then you wouldn't mention me at all""}]"
467,Anonymer Feigling,2021-09-30 10:13:52+00:00,"((0, 17, 'Unknown', 'un'),)",NA
469,Wovon träumen Sie in der Nacht ?,2021-09-29 08:20:39+00:00,"((0, 33, 'GERMAN', 'de'),)",[{'translation_text': 'What do you dream of at night?'}]
470,Wahlen in Aargauer Städten: Warum triumphiert Rotgrün und schifft die SVP ab?,2021-09-28 20:48:27+00:00,"((0, 79, 'GERMAN', 'de'),)",[{'translation_text': 'Elections in Aargau cities: Why is Red Green triumphing and the SVP disembarks?'}]
471,Sind die dorthin geflogen?,2021-09-28 19:54:19+00:00,"((0, 26, 'Unknown', 'un'),)",NA
472,Man kann zurzeit Kinder unter 12 Jahren nicht impfen …,2021-09-23 19:19:43+00:00,"((0, 56, 'GERMAN', 'de'),)","[{'translation_text': ""You can't vaccinate children under 12 years of age at the moment...""}]"
473,"Stopp Zertifikatspflicht!

Bei korrekter Berechnung der Impfquote (ohne Kinder und Jugendliche) sind rund 75% geimpft oder genesen!",2021-09-23 08:46:25+00:00,"((0, 131, 'GERMAN', 'de'),)","[{'translation_text': 'If the vaccination rate (without children and adolescents) is calculated correctly, around 75% are vaccinated or recovered!'}]"
474,Stimmt - die wählen uns schon lange,2021-09-21 10:23:21+00:00,"((0, 36, 'GERMAN', 'de'),)","[{'translation_text': ""Right - they've been choosing us for a long time""}]"
475,"Zum durch die Zertifikatspflicht faktisch geschaffenen Impfzwang eine interessante Überlegung: Die Geschützten müssen vor den Ungeschützten geschützt werden, indem man die Ungeschützten zwingt, den Schutz zu benützen, der die Geschützten nicht schützt …",2021-09-18 12:58:11+00:00,"((0, 264, 'GERMAN', 'de'),)",[{'translation_text': 'An interesting consideration about the impotence created by the obligation to grant a certificate: the protected must be protected from the unprotected by forcing the unprotected to use the protection that does not protect the protected ...'}]
477,Der Widerstandskleber - ab sofort lieferbar - natürlich gratis! Mail an: glarner,2021-09-15 20:02:49+00:00,"((0, 81, 'GERMAN', 'de'),)",[{'translation_text': 'The resistance adhesive - available now - of course free of charge! Mail to: glarner'}]
478,Klartext!,2021-09-15 15:16:14+00:00,"((0, 9, 'Unknown', 'un'),)",NA
479,"Eben nicht - gerade Monteure sind bald wieder darauf angewiesen, sich aufwärmen zu können!",2021-09-14 16:28:40+00:00,"((0, 92, 'GERMAN', 'de'),)",[{'translation_text': 'Not at all - especially fitters are soon again dependent on being able to warm up!'}]
480,Also doch Impfzwang ?,2021-09-14 16:22:28+00:00,"((0, 21, 'Unknown', 'un'),)",NA
482,"Ich hatte selber Corona und würde niemals Personen verhöhnen, die darunter leiden",2021-09-13 16:05:49+00:00,"((0, 83, 'GERMAN', 'de'),)",[{'translation_text': 'I had Corona myself and would never mock people who suffer from it'}]
483,"Wir müssen uns wehren - es gilt, diese Zertifikatspflicht zu bekämpfen - liebe Schweizer, erwacht endlich!",2021-09-13 13:38:56+00:00,"((0, 108, 'GERMAN', 'de'),)","[{'translation_text': 'We must fight back - we must fight this duty of certification - dear Swiss, awaken at last!'}]"
485,Das stimmt schlicht nicht - es wird manipuliert und getrickst …,2021-09-13 10:08:16+00:00,"((0, 65, 'GERMAN', 'de'),)","[{'translation_text': ""That's simply not true - it's being manipulated and tricked ...""}]"
487,"Unglaublich: Der Präsident von  behauptet, internationale Gäste wünschen sich eine Zertifikatspflicht …",2021-09-08 20:25:58+00:00,"((0, 108, 'GERMAN', 'de'),)",[{'translation_text': 'Incredible: The president of claims international guests want a certificate obligation ...'}]
488,"Euer Ernst,  und  Für Klimachaoten wird der Bundesplatz frei gehalten und sogar gratis Strom und Wasser geliefert - aber friedlichen Gegnern der Zertifikatspflicht wird heute der Zugang zum Bundesplatz mit Gittern versperrt?",2021-09-08 18:18:23+00:00,"((0, 225, 'GERMAN', 'de'),)","[{'translation_text': 'Your Ernst, and For Climate Chaots, the Bundesplatz is kept free and even supplied free of charge with electricity and water - but peaceful opponents of the certificate obligation are today blocked access to the Bundesplatz with grids?'}]"
489,Jeder Vermieter müsste künftig auf die Netto-Mietzinseinnahmen einen Zuschlag von 50% bezahlen … wo er dies wohl belasten würde …,2021-09-07 10:21:56+00:00,"((0, 136, 'GERMAN', 'de'),)",[{'translation_text': 'Every landlord would have to pay a 50% surcharge on the net rent income in the future ... where he would probably charge this ...'}]
490,Firma umgehend verlassen!,2021-09-07 10:07:08+00:00,"((0, 25, 'GERMAN', 'de'),)",[{'translation_text': 'Leave the company immediately!'}]
492,Niederlage für Spiess-Hegglin: Buch über die Zuger Landammannfeier soll erscheinen dürfen,2021-09-06 08:01:19+00:00,"((0, 92, 'GERMAN', 'de'),)",[{'translation_text': 'Defeat for Spiess-Hegglin: Book about the Zuger Landammannfeier should be allowed to appear'}]
495,Stimmt - denn sie tun es ja bereits !,2021-09-02 16:54:16+00:00,"((0, 37, 'Unknown', 'un'),)",NA
496,Also ich stehe täglich um 04.15 auf,2021-09-02 07:15:15+00:00,"((0, 36, 'GERMAN', 'de'),)",[{'translation_text': 'So I get up every day at 04.15'}]
497,"Büezer, erwachet - aufstehen um 08.00? Dieser Mann  und seine Partei  haben keine Ahnung von Euren Sorgen und Nöten! Wer morgens aufsteht und einem anständigen Beruf nachgeht oder eigenverantwortlich für Haus, Hof und Kinder sorgt, kann nur  wählen!",2021-09-01 19:51:17+00:00,"((0, 254, 'GERMAN', 'de'),)","[{'translation_text': 'Büezer, wake up - get up at 08.00? This man and his party have no idea of your worries and needs! Who gets up in the morning and pursues a decent profession or takes care of house, yard and children, can only choose!'}]"
498,: Das sind meine „Helden“ - man hat tatsächlich 2 (zwei) neue Intensivbetten geschaffen … der CEO verdient übrigens 385‘000.— CHF / Jahr …,2021-08-27 12:43:14+00:00,"((0, 152, 'GERMAN', 'de'),)","[{'translation_text': ': These are my ""heroes"" - they actually created 2 (two) new intensive beds ... by the way, the CEO deserves 385\'000.— CHF / year ...'}]"
499,Mitglieder ?,2021-08-27 11:07:25+00:00,"((0, 12, 'Unknown', 'un'),)",NA
500,"Interessant: Einen Covid-Test für auszuweisende Asylbetrüger lehnen   und  mit dem Hinweis auf die körperliche Unversehrtheit ab - einen faktischen Impfzwang und Zwangstests für Restaurantbesucher hingegen befürworten beide Parteien … Schweizer, erwachet!",2021-08-26 15:57:27+00:00,"((0, 262, 'GERMAN', 'de'),)","[{'translation_text': 'Interesting: Deny a Covid test for asylum frauds to be expelled and reject it with the reference to physical integrity - a de facto impunity and forced tests for restaurant visitors, on the other hand, both parties support ... Swiss, Awake!'}]"
502,Eine Ausweitung der Zertifikatspflicht auf Restaurants ist unsinnig! Vorher müsste man eine solche für die heilige Kuh öV prüfen!,2021-08-25 04:53:14+00:00,"((0, 133, 'GERMAN', 'de'),)",[{'translation_text': 'An extension of the certificate obligation to restaurants is nonsensical! Before one would have to check such for the holy cow öV!'}]
503,Erwarte noch immer Ihren Packungsprospekt …,2021-08-22 20:21:25+00:00,"((0, 45, 'GERMAN', 'de'),)",[{'translation_text': 'Still waiting for your packing brochure ...'}]
504,"Also wenn Du „wen“ statt „wenn“ schreibst, wird es schwierig, Deine Posts richtig zu interpretieren … (nicht gleich losheulen, ich weiss, Du bist selbsternannter Legastheniker)",2021-08-22 19:45:31+00:00,"((0, 186, 'GERMAN', 'de'),)","[{'translation_text': 'So if you ""wh"" instead of ""if"" writing, it will be difficult to interpret your posts correctly ... (don\'t start crying, I know you\'re a self-proclaimed dyslexic)'}]"
505,Also nach Deinem Post hier zum Entscheid der SVP Delegierten solltest Du hier nicht von „rumproleten“ reden …,2021-08-22 19:43:01+00:00,"((0, 115, 'GERMAN', 'de'),)","[{'translation_text': 'So after your post here on the decision of the SVP delegates you shouldn\'t talk about ""rumproleten"" here ...'}]"
506,Für Frauchiger beginnt „bürgerlich“ rechts von Funiciello,2021-08-22 19:40:10+00:00,"((0, 63, 'GERMAN', 'de'),)","[{'translation_text': 'For Frauchiger begins ""bourgeois"" right of Funiciello'}]"
508,Aber bitte - senden Sie mir nun doch endlich einen Beipackzettel mit dem gleichen oder wenigstens ähnlichen Wortlaut …,2021-08-22 19:04:30+00:00,"((0, 121, 'GERMAN', 'de'),)",[{'translation_text': 'But please - finally send me a package leaflet with the same or at least similar wording ...'}]
509,Also ich habe gerade 3! Beipackzettel gelesen - in keinem lässt sich der Lieferant von der Haftung befreien ….,2021-08-22 19:03:35+00:00,"((0, 113, 'GERMAN', 'de'),)",[{'translation_text': 'So I just read 3! Package leaflets - in no one can the supplier be exempted from liability ....'}]
510,"Ich führe diese darum an, weil ich mir einfach nicht vorstellen kann, dass Sie ohne äussere Einwirkung so geworden sind, wie Sie nun mal eben leider sind …",2021-08-22 17:44:14+00:00,"((0, 159, 'GERMAN', 'de'),)","[{'translation_text': ""I'm referring to this because I just can't imagine that you have become the same without any external influence as you are, unfortunately...""}]"
511,"Sie behaupten, dass sich jeder Lieferant vom Kopfwehtabletten ähnlich aus der Verantwortung schleichen könne - ich bitte Sie um den Beweis - und Sie reden von Nebenwirkungen … schade!",2021-08-22 17:39:33+00:00,"((0, 187, 'GERMAN', 'de'),)",[{'translation_text': 'You claim that every supplier of the headache tablet can sneak out of responsibility similarly - I ask for proof - and you talk about side effects ... a pity!'}]
512,Ah ja - dann posten Sie es bitte hier!,2021-08-22 17:23:10+00:00,"((0, 38, 'GERMAN', 'de'),)",[{'translation_text': 'Ah yes - then please post it here!'}]
513,"Nein, jede Form von Gewalt ist absolut zu verurteilen! Ich bin selbst Opfer von linksgrünalternativen Spinnern und würde Gewalt niemals gutheissen!",2021-08-22 17:22:01+00:00,"((0, 149, 'GERMAN', 'de'),)","[{'translation_text': 'No, any form of violence is absolutely to be condemned! I myself am the victim of left-green-alternative spinners and would never approve of violence!'}]"
514,"Auszug aus dem Vertrag Pfizer/Biontech mit den Käufern:""Der Käufer erkennt an, dass die langfristigen Wirkungen und die Wirksamkeit des Impfstoffs derzeit nicht bekannt sind und dass der Impfstoff unerwünschte Wirkungen haben kann, die derzeit nicht bekannt sind…",2021-08-22 17:21:16+00:00,"((0, 268, 'GERMAN', 'de'),)","[{'translation_text': 'Excerpt from the Pfizer/Biontech contract with buyers:""The buyer acknowledges that the long-term effects and efficacy of the vaccine are currently unknown and that the vaccine may have adverse effects that are currently unknown...'}]"
515,"Auszug aus dem Vertrag Pfizer/Biontech mit den Käufern:""Der Käufer erkennt an, dass die langfristigen Wirkungen und die Wirksamkeit des Impfstoffs derzeit nicht bekannt sind und dass der Impfstoff unerwünschte Wirkungen haben kann, die derzeit nicht bekannt sind…",2021-08-22 17:19:42+00:00,"((0, 268, 'GERMAN', 'de'),)","[{'translation_text': 'Excerpt from the Pfizer/Biontech contract with buyers:""The buyer acknowledges that the long-term effects and efficacy of the vaccine are currently unknown and that the vaccine may have adverse effects that are currently unknown...'}]"
516,"Nein, jede Form von Gewalt ist absolut zu verurteilen! Ich bin selbst Opfer von linksgrünalternativen Spinnern und würde Gewalt niemals gutheissen!",2021-08-22 17:17:12+00:00,"((0, 149, 'GERMAN', 'de'),)","[{'translation_text': 'No, any form of violence is absolutely to be condemned! I myself am the victim of left-green-alternative spinners and would never approve of violence!'}]"
517,Genau - und seither wurden einige weitere Medikamente mit verheerenden Nebenwirkungen zugelassen …,2021-08-22 17:15:35+00:00,"((0, 100, 'GERMAN', 'de'),)",[{'translation_text': 'Exactly - and since then some more drugs have been approved with devastating side effects ...'}]
